,Unnamed: 0,source,cos_sim,target,eng_trans
0,15502,"Моя дочь по закону – не моя дочь, а Каренина. ",0.679269677018557,"Но закон и все условия нашего положения таковы, что моя дочь по закону — не моя дочь, а Каренина. ","My daughter isn't my daughter, she's Karenina."
1,23216,"«Да, все это кончено, и я опять одна», – сказала она себе и, не снимая шляпы, села на стоявшее у камина кресло. ",0.5583423925726714,"«Да, всё кончено, и я опять одна», — сказала она себе. ","""Yeah, it's over, and I'm alone again,"" she said to herself, and without taking off her hats, she sat down on a chair standing by the fireplace."
2,20768,"На приглашение его два старшие тотчас же соскочили к нему и побежали с ним так же просто, как бы они побежали с няней, с мисс Гуль или с матерью. ",0.8022898605248486,"На приглашение его двое старших тотчас же подошли к нему и побежали с ним так же просто, как бы они побежали с няней или с матерью. ","At his invitation, the two elders immediately went to him and ran with him as easily as they would run with the nanny, Miss Ghul, or the mother."
3,1059,"Все это произошло в одно мгновение… Офицер, не помня себя, бросился на нее; около Настасьи Филипповны уже не было ее свиты; приличный господин средних лет уже успел стушеваться совершенно, а господин навеселе стоял в стороне и хохотал что было мочи. ",0.3319890205191836,"Офицер, не помня себя, бросился на неё. ","All this happened in one moment... an officer, not remembering himself, threw himself at her; near Nastasia Philipovna, she was no longer her whistle; a decent middle-aged gentleman had already had time to hang himself completely, and a gentleman had stood aside and laughed at what was urine."
4,11600,"Отродясь я, грешница, так не жила… Квартира большая, казенная, и мне цельная комнатка и кроватка. ",0.6831074100390945,"Квартира большая, казённая, и мне цельная комнатка и кроватка. ","When I was born a sinner, I didn't live like this... the apartment is big, cosy, and I have a whole room and a crib."
5,23095,"Но, друг мой, неужели ты не помнишь покойного Николая Львовича? ",0.7597435389607408,"— закричал он, обращаясь к Нине Александровне. — Но, друг мой, неужели ты не помнишь покойного Николая Львовича?","But, my friend, don't you remember the late Nikolai Lvovich?"
6,14608,"Мне кажется, он застенчив… Когда мы вдвоем с ним, то он бывает очень умен и ласков, а в обществе он грубый человек, бретер. ",0.3574972655086302,"Мне кажется, он застенчив... ","I think he's shy... when the two of us are with him, he's very smart and gentle, and in society he's a rude man, a Brether."
7,11415,"Она уже не плачет… она добрая… Слышен глухой, далекий выстрел.",0.5729739789543346,"Слышен глухой, далёкий выстрел.","She's not crying anymore... she's kind... heard a deaf, distant shot."
8,11911,"Он так завидовал блестящему Шарлю д’Эвре, так мечтал его обойти! ",0.3835868196633691,Как он мечтал быть лучше Шарля д’Эвре! ,"He was so jealous of the shiny Charles d'Evre, he dreamed he'd get around him!"
9,7057,— До свиданья! ,0.73481125660059,— До свиданья!,- Goodbye!
10,10303,– Как не знать! ,0.6780042123895008,— Как не знать! ,- I don't know!
11,1570,Не угодно ль этот финик вам принять… (Уходит.),0.7280085029284669,Не угодно ль этот финик вам принять... ,Would you like to take this date... (Laughter)
12,15207,"— отвечала Настенька, — я и не подумала; конечно, все может случиться, — продолжала она самым сговорчивым голосом, но в котором, как досадный диссонанс, слышалась какая-то другая, отдаленная мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра как можно раньше и, если получите что-нибудь, тотчас же дайте мне знать. ",0.8587768711785843,"— отвечала Настенька, — я и не подумала; конечно, всё может случиться, — продолжала она самым сговорчивым голосом, но в котором, как неприятный диссонанс, слышалась какая-то другая мысль. — Вот что вы сделайте, — продолжала она, — вы идите завтра, как можно раньше, и, если получите что-нибудь, тотчас же дайте мне знать. ",""" Nastenka replied, ""I didn't think it would happen; of course, it could happen, ""but she continued with the most consensual voice, but in which, as an unfortunate dissonance, some other, distant thought was heard. ""You do,"" she continued, ""you go as early as possible tomorrow, and if you get something, immediately let me know."
13,7639,"До обеда еще оставалось много времени, погода была прекрасная, и потому было предложено несколько различных способов провести эти остающиеся два часа. ",0.4097477604160497,До обеда ещё оставалось много времени. ,"There was still a lot of time left before lunch, and the weather was beautiful, so several different ways were suggested to spend the remaining two hours."
14,4929,– Я устал? ,0.7171665876272584,— Я устал? ,- Am I tired?
15,13734,"Я был уверен, что вы на ней женитесь! ",0.3465800150931355,"Он был уверен, что Урбенин не мог бить женщину. ",I was sure you'd marry her!
16,19689,Великие вехи забываешь»,0.6569270073012651,Великое забываешь»,"You forget the great milestones."""
17,11848,Дона Анна!,0.8041568888214313,Дона Анна. ,Dona Anna!
18,16847,"- А какие однако же вы храбрые, вот вы смеетесь, а меня так все это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел… Он пытливо и серьезно еще раз обвел глазами своих слушательниц",0.5632938048562552,"— сказала Аглая почти зло. — А какие, однако же, вы смелые, вот вы смеётесь, а менятак всё это поразило в его рассказе, что я потом во сне видел, именно эти пять минут видел...","- But you're brave, and you're laughing, and I'm so impressed by all this in his story that I saw in my dream, and it's those five minutes that he's tortured and seriously blinded his listeners again."
19,18702,И я проснулась,0.3170761311227956,"И слуга мне говорит: «Родами умрёте, матушка…» И я проснулась… — Какая глупость! ",And I woke up.
20,4022,"Лизавета Прокофьевна чуть было не прогнала ее на место, но в ту самую минуту, как только было Аглая начала декламировать известную балладу, два новые гостя, громко говоря, вступили с улицы на террасу. ",0.512228862883648,"В ту самую минуту, как только Аглая начала читать известные стихи, два новых гостя вошли на террасу. ","Lizaveta Prokofievna almost drove her to the spot, but the minute Aglaia began to declare the famous ballad, two new guests, loudly speaking, entered the terrace from the street."
21,5319,Вы уж потерпите минутку». ,0.5713210341373409,Подождите минутку». ,"You'll have to wait a minute."""
22,5157,Долли посмотрела на нее вопросительно.,0.8750566572868478,Долли посмотрела на неё вопросительно. ,Dolly looked at her question-and-answer.
23,15067,"Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и конечно вследствие своей силы и здоровья, любили иногда хорошо покушать, чего вовсе не желали скрывать. ",0.8603432569762318,"IV  Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать.","All three of Epanchin's girls were healthy, blooming, tall, with amazing shoulders, with strong breasts, with strong hands, almost like men, and, of course, because of their strength and health, sometimes loved to eat well, which they were not willing to hide."
24,6423,"— Нашей армии, нашим завоеваниям, России! ",0.6279514018963571,— Нашей армии! ,"- Our army, our conquests, Russia!"
25,624,"Мне хочется каяться, милые сестры. ",0.8393592202325966,"Мне хочется каяться, милые сёстры. ","I want to repent, lovely sisters."
26,7105,"Да вот у меня жена, два сына, две дочери, всех шестеро, как бы нам поровну разделить твоих гусей?",0.4865766921382804,Как нам правильно разделить твоих гусей?,"I have a wife, two sons, two daughters, all six, how do we share your geese equally?"
27,15195,- Так молчите. ,0.7111170873380357,— Так молчите. ,- So don't talk.
28,1207,"— сказала Дарья Александровна, как будто презирая его зa низость этого чувства в сравнении с тем, другим чувством, которое знают одни женщины. — В то время как вы делали предложение Кити, она именно была в том положении, когда она не могла отвечать. ",0.584483099521697,"В то время как вы делали предложение Кити, она была в том положении, когда она не могла отвечать. ","""Daria Alexandrovna said, as if to despise him for the lowness of that feeling in comparison to the other feeling that some women know. "" While you proposed to Kitty, she was in a position where she could not answer."
29,12501,Князь весь съежился. ,0.5367462003821208,Князь весь съёжился. ,The Prince has eaten all over.
30,14625,"Она увидала его прежде, чем он ее, и она поняла, что он думал о ней.",0.7555064880299976,"Она увидала его раньше, чем он её, и она поняла, что он думал о ней. ","She saw him before he saw her, and she realized what he was thinking about her."
31,14078,"Он изучал жидкое, твердое и газообразное состояния тел. ",0.8904405113917818,"Он изучал жидкое, твёрдое и газообразное состояние тел. ","He studied the fluid, solid, and gaseous state of the bodies."
32,17591,Дона Анна О боже! ,0.7047682273381434,О боже! ,"Dona Anna oh, my God!"
33,11460,Ей-богу! ,0.3145260181992554,Видеть её не могу! ,By God!
34,20846,"Всё тяжелое, что было в его отношениях к Анне, вся неопределенность, оставшаяся после их разговора, всё выскочило из его головы; он с наслаждением и волнением думал теперь о скачке, о том, что он всё-таки поспеет, и изредка ожидание счастья свидания нынешней ночи вспыхивало ярким светом в его воображении.",0.3987417930247316,"Всё тяжёлое, что было в его отношениях с Анной, всё забыл Вронский; он с волнением думал теперь о скачках. ","All the hard things he had in his relationship with Anna, all the uncertainty left over from their conversation, came out of his head; he now thought with pleasure and excitement about the race, about the fact that he was going to catch up, and sometimes waiting for the happiness of this night's date was a bright light in his imagination."
35,85,"Я должен наконец говорить, высказать, что у меня накипело тут, в сердце... ",0.8451669158535124,"Я должен наконец говорить, высказать, что у меня наболело тут в сердце...","I have to finally talk, tell you what's going on here in my heart..."
36,11381,"Вот Андрей наш, братец… Все надежды пропали. ",0.556403046617807,Все надежды пропали. ,"Here's Andrei, brother... all hope is lost."
37,21711,— спросил Павел Иваныч,0.3734802964770759,"А Павел Иванович сказал, что не понимает Сергея","""Ask Paul Ivanovic."
38,7877,"Не выйди я за Урбенина, я могла бы выйти теперь за графа!» ",0.6867116463513323,"Если бы я не вышла замуж за Урбенина, я могла бы теперь выйти замуж за графа!» ","If I didn't marry Urbenin, I could marry the Count now!"""
39,12857,"– сказала она, совершенно забыв и не слыхав, что он сказал: «для тебя и для детей».",0.7891256418757401,"— ска зала она, забыв или не услышав, что он сказал: «для тебя и для детей». ","'She said, completely forgetting and without hearing that he said, 'for you and for the children.'"
40,2101,- Павлищев… Павлищев перешел в католицизм? ,0.607489851760051,Князь был вне себя. — Павлищев... перешёл в католицизм? ,- The peacock... has the peacock converted to Catholicism?
41,2774,"Варя промолчала, потому что не знала, замечательно это или нет. ",0.7504467769326768,"Она не знала, замечательно это или нет. ",Varya didn't say anything because she didn't know if it was great or not.
42,23064,Как вы думаете?,0.9480796603791484,Как вы думаете? ,What do you think?
43,4911,"Он хороший человек, удивительно даже, такой хороший… И у меня вдруг точно крылья выросли на душе, я повеселела, стало мне легко и опять захотелось работать, работать… Только вот вчера произошло что-то, какая-то тайна нависла надо мной… Чебутыкин. ",0.4757265068147836,"Только вот вчера произошло что-то, какая-то тайна нависла надо мной...","He's a good man, and he's amazingly good... and all of a sudden I've got wings on my soul, and I've been having fun, and I've got a lot of fun and I want to work and work again... but yesterday something happened, some secret hanging over me... Chebutikin."
44,22192,"— Как вы смешны, — сказала Дарья Александровна с грустною усмешкой, несмотря на волненье Левина. — Да, я теперь всё больше и больше понимаю,— продолжала она задумчиво. — Так вы не приедете к нам, когда Кити будет?",0.4187933910927562,"Так вы не приедете к нам, когда Кити будет? ",""" How funny you are, "" said Daria Alexandrovna, with a sad laugh, despite Levin's excitement. "" Yes, I understand more and more now, ""she kept thinking. "" So you won't come to us when Kitty gets here?"
45,5120,"Ну, да все равно. ",0.7660539971457232,"Ну, да всё равно. ","Well, whatever."
46,6510,Какая же может быть тайна между Стивой и мной?,0.9307876662697204,Какая может быть тайна между Стивой и мной? ,What's the secret between Steve and me?
